username,full_name,email,is_active,last_login,date_joined,state_code,is_super_approver,is_state_approver,is_district_approver,is_upzone_approver,districts,upzone,district_approvals_total,district_participant,district_volunteer,district_organization,upzone_approvals_total,upzone_participant,upzone_volunteer,upzone_organization,final_approvals_total,final_participant,final_volunteer,final_organization,total_approvals,total_rejections,rejected_participant,rejected_volunteer,rejected_organization,total_activity_count,active_hours,approval_rate,rejection_rate,activity_per_hour
prabhakant_sah_samanvayak_mp,PRABHAKANT TIWARI,prabhakant_sah_samanvayak_mp@ycsmp.in,True,2025-10-08 03:40:10.767302+00:00,2025-10-01 19:42:53.643306+00:00,MP,False,False,False,True,,MP Central Zone,5,1,3,1,301,13,138,150,1,0,0,1,307,142,2,5,135,449,13.75,68.37,31.63,32.65
MPZONE,Jagdish Kulmi,,True,2025-10-08 14:26:36.570808+00:00,2025-09-23 07:32:17+00:00,MP,False,True,False,False,,,0,0,0,0,2,0,0,2,272,13,110,149,274,17,11,2,4,291,0.45,94.16,5.84,646.67
abhishek_mp,ABHISHEK PARMAR,,True,2025-10-08 11:58:43.471366+00:00,2025-10-05 08:33:30+00:00,MP,True,True,True,True,,,0,0,0,0,0,0,0,0,155,152,2,1,155,0,0,0,0,155,5.4,100.0,0.0,28.7
amar_mp,AMAR DHAKAD,,True,2025-10-08 18:34:17.474503+00:00,2025-10-05 08:33:26+00:00,MP,True,True,True,True,,,0,0,0,0,0,0,0,0,146,146,0,0,146,0,0,0,0,146,4.86,100.0,0.0,30.04
pankesh_mp,PANKESH GHODKI,,True,2025-10-07 14:07:17.065132+00:00,2025-10-05 08:33:28+00:00,MP,True,True,True,True,,,0,0,0,0,0,0,0,0,140,139,1,0,140,0,0,0,0,140,3.55,100.0,0.0,39.44
Anmol_mp,Anmol Pathak,anmolpathak10@gmail.com,True,2025-10-08 13:25:38.270264+00:00,2025-09-25 07:10:39+00:00,MP,True,True,True,True,,जबलपुर उपजोन,0,0,0,0,0,0,0,0,71,71,0,0,71,2,2,0,0,73,2.02,97.26,2.74,36.14
govind_mp,GOVIND VISHWAKARMA,,True,2025-10-07 15:05:44.268521+00:00,2025-10-05 08:33:29+00:00,MP,True,True,True,True,,,0,0,0,0,2,2,0,0,56,53,2,1,58,0,0,0,0,58,1.35,100.0,0.0,42.96
Ambekar_mp,Ambekar,,True,2025-10-07 16:41:05.572151+00:00,2025-09-26 12:27:57+00:00,MP,True,False,False,False,Bhopal,MP Central Zone,2,1,1,0,1,0,1,0,46,43,2,1,49,0,0,0,0,49,2.75,100.0,0.0,17.82
vivek_chaudhary,No Name,,True,2025-10-08 04:18:21.067380+00:00,2025-10-01 08:32:52+00:00,MP,True,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
jabalpur_upzone,No Name,,True,2025-09-18 21:49:23.488391+00:00,2025-09-18 20:41:50+00:00,MP,False,False,False,True,,जबलपुर उपजोन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.0
